t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
100,797863.000000,8,21,44,51,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309498,0.511516
101,797863.000000,8,18,46,52,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309498,0.511516
102,797862.000000,8,19,46,52,1,0,0,0,1,1,2,1,1,0,1,0,40,0,0,0,0,3000,0,6000,48,0,1,0.309841,0.511516
103,797862.000000,7,17,47,54,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309841,0.511516
104,797860.000000,8,18,47,54,2,0,0,0,1,2,0,0,0,0,1,0,30,1,0,0,0,3000,0,6000,48,0,1,0.3105,0.511516
105,797856.000000,12,18,47,54,4,0,0,0,0,1,0,0,0,0,0,0,48,0,0,0,0,3000,0,6000,48,0,1,0.311756,0.511516
106,797853.000000,13,20,47,54,3,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.312652,0.511516
107,797852.000000,14,17,47,57,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.312937,0.511516
108,797851.000000,12,18,48,58,1,1,0,0,3,1,2,0,0,0,1,0,6,1,0,0,0,3000,0,6000,48,0,1,0.313219,0.511516
109,797848.000000,14,17,49,59,3,1,0,0,1,1,1,0,0,0,1,0,64,1,0,0,0,3000,0,6000,48,0,1,0.31404,0.511516
110,797846.000000,16,16,50,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.314564,0.511516
111,797845.000000,15,17,51,59,1,1,0,0,2,1,1,1,1,0,0,0,18,1,0,0,0,3000,0,6000,48,0,1,0.314821,0.511516
112,797844.000000,14,18,51,60,1,0,0,0,2,2,1,0,0,0,1,0,13,2,0,0,0,3000,0,6000,48,0,1,0.315074,0.511516
113,797841.000000,17,18,51,60,3,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,3000,0,6000,48,0,1,0.314844,0.511516
114,797834.000000,21,18,52,62,7,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.316516,0.511516
115,797832.000000,22,17,53,63,2,1,0,0,3,2,1,0,0,0,0,0,21,2,0,0,0,3000,0,6000,48,0,1,0.316969,0.511516
116,797830.000000,22,19,53,63,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.317408,0.511516
117,797828.000000,24,19,53,63,2,0,0,0,2,2,0,0,0,0,2,0,5,2,0,0,0,3000,0,6000,48,0,1,0.317824,0.511516
118,797827.000000,22,22,53,63,1,0,0,0,3,2,0,0,0,0,0,0,42,2,0,0,0,3000,0,6000,48,0,1,0.318027,0.511516
119,797825.000000,21,24,54,63,2,1,0,0,2,2,0,0,0,0,2,0,19,2,0,0,0,3000,0,6000,48,0,1,0.318441,0.511516
120,797823.000000,22,24,55,63,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3000,0,6000,48,0,1,0.31883,0.511516
121,797820.000000,23,24,57,63,3,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,3000,0,6000,48,0,1,0.319423,0.511516
122,797819.000000,23,25,57,63,1,0,0,0,2,1,0,0,0,0,1,0,4,1,0,0,0,3000,0,6000,48,0,1,0.319616,0.511516
123,797819.000000,22,26,57,63,0,0,0,0,1,1,0,0,0,0,3,0,54,1,0,0,0,3000,0,6000,48,0,1,0.319616,0.511516
124,797817.000000,24,26,57,63,2,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,3000,0,6000,48,0,1,0.31998,0.511516
125,797815.000000,21,30,58,63,2,1,0,0,3,3,0,0,0,0,1,0,7,3,0,0,0,3000,0,6000,48,0,1,0.320335,0.511516
126,797814.000000,21,31,58,63,1,0,0,0,3,2,0,0,0,0,3,0,0,2,0,0,0,3000,0,6000,48,0,1,0.319704,0.511516
127,797814.000000,20,31,59,63,0,1,0,0,1,1,1,1,1,0,1,0,4,1,0,0,0,3000,0,6000,48,0,1,0.319704,0.511516
128,797813.000000,19,32,59,64,1,0,0,0,2,1,2,1,1,0,0,0,2,1,0,0,0,3000,0,6000,48,0,1,0.319876,0.511516
129,797811.000000,19,31,61,65,2,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.32024,0.511516
130,797807.000000,21,32,61,66,4,0,0,1,3,1,3,2,2,0,2,0,14,1,0,0,0,3000,0,6000,48,0,1,0.320145,0.511516
131,797804.000000,21,32,62,68,3,1,0,0,4,2,2,0,0,0,0,0,15,2,0,0,0,3000,0,6000,48,0,1,0.320652,0.511516
132,797802.000000,23,30,64,68,2,2,0,0,0,1,0,0,0,0,1,0,47,0,0,0,0,3000,0,6000,48,0,1,0.320984,0.511516
133,797800.000000,21,33,65,68,2,1,0,0,3,1,1,0,0,0,1,0,3,1,0,0,0,3000,0,6000,48,0,1,0.32056,0.511516
134,797797.000000,24,31,66,69,3,1,0,0,1,1,1,0,0,0,3,0,44,0,0,0,0,3000,0,6000,48,0,1,0.321053,0.511516
135,797796.000000,23,32,67,69,1,1,0,0,2,1,1,1,1,0,2,0,22,1,0,0,0,3000,0,6000,48,0,1,0.321219,0.511516
136,797794.000000,22,33,68,70,2,1,0,0,2,4,2,1,1,0,2,0,59,3,0,0,0,3000,0,6000,48,0,1,0.321543,0.511516
137,797792.000000,20,34,70,71,2,2,0,0,3,3,1,0,0,0,0,0,47,3,0,0,0,3000,0,6000,48,0,1,0.321846,0.511516
138,797791.000000,19,32,74,71,1,4,0,0,3,2,1,0,0,0,4,0,15,2,0,0,0,3000,0,6000,48,0,1,0.322003,0.511516
139,797789.000000,18,34,74,72,2,0,0,0,2,3,1,0,0,0,1,0,14,3,0,0,0,3000,0,6000,48,0,1,0.322285,0.511516
140,797789.000000,15,37,74,72,0,0,0,0,4,3,0,0,0,0,3,0,63,2,0,0,0,3000,0,6000,48,0,1,0.322285,0.511516
141,797789.000000,14,38,74,72,0,0,0,0,2,3,1,1,1,0,5,0,34,3,0,0,0,3000,0,6000,48,0,1,0.322285,0.511516
142,797786.000000,14,40,74,73,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3000,0,6000,48,0,1,0.322711,0.511516
143,797785.000000,12,41,76,73,1,2,0,0,4,3,4,2,2,0,2,0,34,3,0,0,0,3000,0,6000,48,0,1,0.322854,0.511516
144,797782.000000,15,35,78,77,3,2,0,0,2,3,6,2,2,0,3,0,10,3,0,0,0,3000,0,6000,48,0,1,0.323247,0.511516
145,797781.000000,15,34,78,79,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.32339,0.511516
146,797781.000000,14,33,80,79,0,2,0,0,2,3,2,2,2,0,1,0,40,2,0,0,0,3000,0,6000,48,0,1,0.32339,0.511516
147,797780.000000,12,34,80,81,1,0,0,0,1,0,4,2,2,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.32353,0.511516
