t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
126,797789.000000,12,17,93,76,0,1,0,0,2,2,0,0,0,0,1,0,33,1,0,0,0,4000,0,8000,48,0,1,0.273615,0.396108
127,797789.000000,12,14,96,76,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.273615,0.396108
128,797789.000000,11,15,96,76,0,0,0,0,1,2,1,1,1,0,1,0,19,2,0,0,0,4000,0,8000,48,0,1,0.273615,0.396108
129,797789.000000,9,15,97,77,0,1,0,0,1,3,2,1,1,0,2,0,5,2,0,0,0,4000,0,8000,48,0,1,0.273615,0.396108
130,797786.000000,10,16,97,78,3,0,0,0,3,1,1,0,0,0,1,0,5,1,0,0,0,4000,0,8000,48,0,1,0.275346,0.396108
131,797782.000000,14,16,97,78,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.277729,0.396108
132,797782.000000,12,18,97,78,0,0,0,0,1,2,0,0,0,0,0,0,6,2,0,0,0,4000,0,8000,48,0,1,0.277729,0.396108
133,797782.000000,10,18,99,78,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.277729,0.396108
134,797781.000000,9,19,100,78,1,1,0,0,4,3,0,0,0,0,2,0,4,3,0,0,0,4000,0,8000,48,0,1,0.278423,0.396108
135,797779.000000,10,19,101,78,2,1,0,0,1,1,0,0,0,0,1,0,18,1,0,0,0,4000,0,8000,48,0,1,0.279253,0.396108
136,797778.000000,10,19,102,78,1,1,0,0,1,2,0,0,0,0,1,0,11,0,0,0,0,4000,0,8000,48,0,1,0.27992,0.396108
137,797775.000000,13,19,102,78,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.281315,0.396108
138,797775.000000,13,19,102,78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.281315,0.396108
139,797774.000000,13,19,103,78,1,1,0,0,1,1,0,0,0,0,2,0,3,1,0,0,0,4000,0,8000,48,0,1,0.281962,0.396108
140,797773.000000,13,20,103,78,1,0,0,0,1,1,0,0,0,0,0,0,36,0,0,0,0,4000,0,8000,48,0,1,0.2826,0.396108
141,797773.000000,13,20,103,78,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.2826,0.396108
142,797773.000000,12,19,104,79,0,1,0,0,1,2,3,2,2,0,0,0,20,1,0,0,0,4000,0,8000,48,0,1,0.2826,0.396108
143,797772.000000,11,19,104,81,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.28266,0.396108
144,797769.000000,13,19,105,81,3,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.284499,0.396108
145,797767.000000,14,18,106,82,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.285689,0.396108
146,797766.000000,14,19,106,82,1,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,4000,0,8000,48,0,1,0.286283,0.396108
147,797765.000000,14,19,107,82,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.286871,0.396108
148,797760.000000,17,17,110,83,5,3,0,0,2,1,1,0,0,0,1,0,26,1,0,0,0,4000,0,8000,48,0,1,0.288121,0.396108
149,797759.000000,17,17,111,83,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.288673,0.396108
150,797758.000000,18,17,111,83,1,0,0,0,0,1,0,0,0,0,1,0,38,0,0,0,0,4000,0,8000,48,0,1,0.289223,0.396108
151,797756.000000,19,17,112,83,2,1,0,0,1,1,2,2,2,0,0,0,8,1,0,0,0,4000,0,8000,48,0,1,0.2903,0.396108
152,797755.000000,19,16,112,85,1,0,0,1,1,1,2,0,0,0,1,0,3,1,0,0,0,4000,0,8000,48,0,1,0.29032,0.396108
153,797755.000000,19,16,112,85,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,4000,0,8000,48,0,1,0.29032,0.396108
154,797754.000000,20,15,113,85,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,4000,0,8000,48,0,1,0.290855,0.396108
155,797754.000000,18,16,113,86,0,0,0,0,1,2,2,0,0,0,0,0,17,1,0,0,0,4000,0,8000,48,0,1,0.290855,0.396108
156,797753.000000,19,15,113,87,1,0,0,0,1,1,1,0,0,0,3,0,2,1,0,0,0,4000,0,8000,48,0,1,0.291383,0.396108
157,797753.000000,16,18,113,87,0,0,0,0,2,2,0,0,0,0,0,0,11,2,0,0,0,4000,0,8000,48,0,1,0.291383,0.396108
158,797752.000000,15,19,114,87,1,1,0,0,2,2,0,0,0,0,1,0,2,2,0,0,0,4000,0,8000,48,0,1,0.291899,0.396108
159,797750.000000,16,20,114,87,2,0,0,0,2,1,0,0,0,0,2,0,29,1,0,0,0,4000,0,8000,48,0,1,0.291927,0.396108
160,797749.000000,15,21,115,87,1,1,0,0,2,2,0,0,0,0,0,0,14,2,0,0,0,4000,0,8000,48,0,1,0.292,0.396108
161,797747.000000,17,21,115,87,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.292983,0.469779
162,797744.000000,19,21,115,88,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.293068,0.469779
163,797744.000000,18,22,115,88,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,4000,0,8000,48,0,1,0.293068,0.469779
164,797742.000000,18,24,115,88,2,0,0,0,2,1,3,3,3,0,0,0,15,1,0,0,0,4000,0,8000,48,0,1,0.293092,0.469779
165,797741.000000,19,20,116,91,1,1,0,0,1,1,3,0,0,0,2,0,0,1,0,0,0,4000,0,8000,48,0,1,0.293106,0.469779
166,797740.000000,19,21,116,91,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,4000,0,8000,48,0,1,0.293171,0.469779
167,797738.000000,21,19,117,92,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.293194,0.469779
168,797735.000000,23,18,119,92,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.293751,0.469779
169,797735.000000,20,19,120,93,0,1,0,0,3,1,1,0,0,0,1,0,40,0,0,0,0,4000,0,8000,48,0,1,0.293751,0.469779
170,797734.000000,20,20,120,93,1,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,0,4000,0,8000,48,0,1,0.293743,0.469779
171,797733.000000,16,24,121,93,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.294215,0.469779
172,797729.000000,20,24,121,93,4,0,0,0,3,0,2,2,2,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.294771,0.469779
173,797724.000000,24,23,121,95,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.29565,0.469779
174,797721.000000,25,23,123,95,3,2,0,0,2,0,3,3,3,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.295589,0.469779
175,797715.000000,28,23,123,98,6,0,0,1,3,2,3,0,0,0,1,0,71,1,0,0,0,4000,0,8000,48,0,1,0.297714,0.469779
176,797711.000000,30,25,123,98,4,0,0,0,3,1,0,0,0,0,2,0,2,1,0,0,0,4000,0,8000,48,0,1,0.297655,0.469779
177,797707.000000,31,28,123,98,4,0,0,0,1,2,1,0,0,0,1,0,64,0,0,0,0,4000,0,8000,48,0,1,0.298448,0.469779
178,797707.000000,30,28,123,99,0,0,0,0,3,2,2,1,1,0,1,0,9,2,0,0,0,4000,0,8000,48,0,1,0.298448,0.469779
179,797704.000000,31,29,123,100,3,0,0,0,2,1,1,0,0,0,2,0,18,1,0,0,0,4000,0,8000,48,0,1,0.298462,0.469779
180,797703.000000,29,32,123,100,1,0,0,0,3,2,1,1,1,0,3,0,37,1,0,0,0,4000,0,8000,48,0,1,0.298857,0.469779
181,797703.000000,27,32,124,101,0,1,0,0,2,3,2,1,1,0,1,0,27,3,0,0,0,4000,0,8000,48,0,1,0.298857,0.469779
182,797703.000000,26,32,124,102,0,0,0,0,1,2,2,0,0,0,1,0,6,2,0,0,0,4000,0,8000,48,0,1,0.298857,0.469779
183,797702.000000,24,34,124,103,1,0,0,0,1,2,1,0,0,0,0,0,4,2,0,0,0,4000,0,8000,48,0,1,0.298844,0.469779
